Titulo,Autor,Editor,TituloBusqueda,cluster id,confidence
resucito / alegrate,"fuertes fernandez, mariano",o.c.p.,resucito / alegrate,151,1
"informe socio economico de la ciudad de sevilla, 1995-1996","cuenca garcia, eduardo",ayuntamiento de sevilla,"informe socio economico de la ciudad de sevilla, 1995-1996",152,1
informe socio economico de la ciudad de sevilla,"cuenca garcia, eduardo",ayuntamiento de sevilla,informe socio economico de la ciudad de sevilla,153,1
como ensenar a los hijos a vivir con alegria,"aradillas, antonio",alameda,como ensenar a los hijos a vivir con alegria,154,1
"david, hoy","aradillas, antonio",studium,"david, hoy",155,1
yves klein. catalogo,"martinez lopez, jose antonio, trad.",museo nacional centro de arte reina sofia,yves klein. catalogo,156,1
la horticultura espanola,"melgarejo moreno, pablo",sociedad espanola de ciencias horticolas,la horticultura espanola,157,1
la negra,"gonzalez cruz, luis miguel",,la negra,158,1
las andanzas del coronel barcelones massanes al inicio del siglo xix,"vilarrubias solanes, felio antonio",circulo de liceo,las andanzas del coronel barcelones massanes al inicio del siglo xix,159,1
espana hoy,"vilarrubias solanes, felio antonio",universidad la laguna,espana hoy,160,1
el camino de la legua,benjamin blanco rocandio y oscar robres medel,elite,el camino de la legua,161,1
antologia de la poesia cosmica,"diez serrano, isabel",frente de afirmacion hispanista,antologia de la poesia cosmica,162,1
antonio pereira en aula valverde,,aeex,antonio pereira en aula valverde,163,1
rainy days,"diaz mas, maria paloma",aris phillips,rainy days,164,1
serna-avendano,"lacarta salvador, manuel",arteguia,serna-avendano,165,1
mateo,"lacarta salvador, manuel",arteguia,mateo,166,1
i jornadas andaluzas de eslavistica,"juez galvez, francisco javier",junta de andalucia,i jornadas andaluzas de eslavistica,167,1
haz de sentimientos,"lopez ramos, antonio",,haz de sentimientos,168,1
"amor, ideas y hombres","lopez ramos, antonio",,"amor, ideas y hombres",169,1
los pequenos consumidores,"sanchez sanchez, rafael",unae,los pequenos consumidores,170,1
mezako oharrak,"amundarain sarasola, benito",izarra,mezako oharrak,171,1
jaunaren deia,"amundarain sarasola, benito",izarra,jaunaren deia,172,1
ensayo de tactica general,,,ensayo de tactica general,173,1
el ejercito te abre sus puertas,ory,dossat,el ejercito te abre sus puertas,174,1
contestaciones al programa no4 de los cursos regionales de formacion de sargentos,"de ory lozano, eduardo",dossat,contestaciones al programa no4 de los cursos regionales de formacion de sargentos,175,1
formacion de sargentos de artilleria,"de ory lozano, eduardo",dossat,formacion de sargentos de artilleria,176,1
formacion de cabos de artilleria,"de ory lozano, eduardo",dossat,formacion de cabos de artilleria,177,1
formacion de sargentos de infanteria,"de ory lozano, eduardo",dossat,formacion de sargentos de infanteria,178,1
formacion de cabos de infanteria,"de ory lozano, eduardo",dossat,formacion de cabos de infanteria,179,1
